State,est - Total Pop,est - Total Pop - Male,est - Total Pop - Female,est - Total Pop 18 and Over,est - Total Pop 18 and Over – Male,est - Total Pop 18 and Over – Female,est - Pop 25 and Over - Educated,est - Pop 25 and Over – HS Graduate or Higher,est - Pop 25 and Over – Male HS and Over,est - Pop 25 and Over – Female HS and Over,est - Civilian Pop 18 and Over,est - Civilian Veterans 18 and Over,est - Pop 16 and Over,est - Pop 16 and Over – Labor Force,est - Pop 16 and Over – Civilian Labor,est - Pop 16 and Over – Employed,est - Pop 16 and Over – Unemployed,est - Unemployment Rate – 16 and Over,est - Pop 16 and Over – Armed Forces,est - Pop 16 and Over – Not in Labor Force,est - Workers 16 and Over,est - Workers 16 and Over – Drove Alone,est - Workers 16 and Over – Carpooled,est - Workers 16 and Over – Public Transit,est - Workers 16 and Over – Walked,est - Workers 16 and Over – Other Transport,est - Workers 16 and Over – Work From Home,est - Avg Commute Time (Min),est - Households With Income,est - Median Household Income,est - Households With Earnings,est - Mean Household Earnings,est - Households With Social Security Income,est - Mean Social Security Income,est - Households With Suppliemental Security Income,est - Mean Suppliemental Security Income,est - Households With Cash Assistance,est - Mean Cash Assistance Income,est - Households With Retirement Income,est - Mean Retirement Income,est - Households With SNAP,est - Individuals With Income,est - Per Capita Income,est - FTYR Workers – Male,est - FTYR Workers – Female,est - Median Earnings – FTYR Male,est - Median Earnings – FTYR Female,est - Civilian Noninstitutionalized Pop,est - Pop With Private Health Insurance,est - Pop With Public Health Insurance,est - Pop Uninsured,est - Pop 18 and Over Below Poverty,est - Occupied Housing Units,est - Households With No Vehicles,est - Households With 1 and Over Vehicles,est - Owner-Occupied With Mortgage,est - Mortgage Costs  less than 30 percent Income,est - Mortgage Costs 30 precent or more of Income,moe - Total Pop,moe - Total Pop - Male,moe - Total Pop - Female,moe - Total Pop 18 and Over,moe - Total Pop 18 and Over – Male,moe - Total Pop 18 and Over – Female,moe - Pop 25 and Over - Educated,moe - Pop 25 and Over – HS Graduate or Higher,moe - Pop 25 and Over – Male HS and Over,moe - Pop 25 and Over – Female HS and Over,moe - Civilian Pop 18 and Over,moe - Civilian Veterans 18 and Over,moe - Pop 16 and Over,moe - Pop 16 and Over – Labor Force,moe - Pop 16 and Over – Civilian Labor,moe - Pop 16 and Over – Employed,moe - Pop 16 and Over – Unemployed,moe - Unemployment Rate – 16 and Over,moe - Pop 16 and Over – Armed Forces,moe - Pop 16 and Over – Not in Labor Force,moe - Workers 16 and Over,moe - Workers 16 and Over – Drove Alone,moe - Workers 16 and Over – Carpooled,moe - Workers 16 and Over – Public Transit,moe - Workers 16 and Over – Walked,moe - Workers 16 and Over – Other Transport,moe - Workers 16 and Over – Work From Home,moe - Avg Commute Time (Min),moe - Households With Income,moe - Median Household Income,moe - Households With Earnings,moe - Mean Household Earnings,moe - Households With Social Security Income,moe - Mean Social Security Income,moe - Households With Suppliemental Security Income,moe - Mean Suppliemental Security Income,moe - Households With Cash Assistance,moe - Mean Cash Assistance Income,moe - Households With Retirement Income,moe - Mean Retirement Income,moe - Households With SNAP,moe - Individuals With Income,moe - Per Capita Income,moe - FTYR Workers – Male,moe - FTYR Workers – Female,moe - Median Earnings – FTYR Male,moe - Median Earnings – FTYR Female,moe - Civilian Noninstitutionalized Pop,moe - Pop With Private Health Insurance,moe - Pop With Public Health Insurance,moe - Pop Uninsured,moe - Pop 18 and Over Below Poverty,moe - Occupied Housing Units,moe - Households With No Vehicles,moe - Households With 1 and Over Vehicles,moe - Owner-Occupied With Mortgage,moe - Mortgage Costs  less than 30 percent Income,moe - Mortgage Costs 30 precent or more of Income
Alabama,"5,074,296",48.50%,51.50%,78.10%,47.80%,52.20%,"3,474,924",88.80%,87.30%,90.20%,"3,946,788",7.70%,"4,093,740",58.60%,58.20%,55.70%,2.50%,4.30%,0.40%,41.40%,"2,259,733",80.50%,7.90%,0.30%,1.20%,1.20%,8.90%,25.4,"2,016,448","59,674",72.60%,"86,749",35.10%,"21,488",6.60%,"10,526",1.60%,"3,324",26.10%,"27,985",14.10%,"5,074,296","33,777","964,406","759,240","55,721","41,951","4,988,625",67.00%,38.40%,8.80%,14.60%,"2,016,448",5.20%,94.80%,"768,014",77.00%,23.00%,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±5,963",±0.3,±0.4,±0.4,"±3,735",±0.2,"±4,260",±0.4,±0.4,±0.4,±0.2,±0.3,±0.1,±0.4,"±16,711",±0.6,±0.4,±0.1,±0.1,±0.1,±0.4,±0.3,"±11,475",±727,±0.5,"±1,285",±0.4,±228,±0.3,±264,±0.2,±375,±0.5,±953,±0.4,*****,±383,"±12,391","±11,702",±887,±563,"±2,393",±0.5,±0.4,±0.3,±0.4,"±11,475",±0.3,±0.3,"±12,780",±0.8,±0.8
Alaska,"733,583",52.60%,47.40%,76.00%,53.10%,46.90%,"489,218",93.30%,93.30%,93.30%,"533,430",10.10%,"575,934",67.00%,62.80%,59.90%,2.90%,4.60%,4.20%,33.00%,"359,628",64.20%,12.30%,1.20%,7.30%,5.50%,9.50%,19.4,"274,574","88,121",81.30%,"106,785",24.90%,"20,601",3.80%,"10,502",6.20%,"4,234",22.90%,"42,102",10.90%,"733,583","43,054","152,785","102,939","66,109","57,087","701,511",66.40%,37.20%,11.00%,10.10%,"274,574",9.10%,90.90%,"110,040",70.90%,29.10%,*****,±0.3,±0.3,±0.2,±0.2,±0.2,"±1,732",±0.7,±0.8,±0.9,"±2,544",±0.6,"±1,907",±1.0,±1.1,±1.2,±0.3,±0.5,±0.4,±1.0,"±6,362",±1.4,±1.1,±0.3,±0.6,±0.6,±0.7,±0.6,"±3,261","±2,804",±1.1,"±2,782",±1.0,±813,±0.6,±925,±0.7,±884,±1.1,"±3,239",±1.1,*****,±986,"±3,867","±3,994","±3,650","±2,558","±2,509",±1.2,±1.2,±0.8,±0.8,"±3,261",±0.8,±0.8,"±4,022",±2.3,±2.3
Arizona,"7,359,197",50.00%,50.00%,78.40%,49.70%,50.30%,"5,053,656",89.20%,88.90%,89.40%,"5,747,509",7.90%,"5,961,733",60.70%,60.30%,57.70%,2.60%,4.30%,0.40%,39.30%,"3,402,927",66.10%,9.80%,0.80%,1.70%,2.40%,19.20%,24.9,"2,850,377","74,568",75.20%,"102,494",33.40%,"23,704",4.00%,"10,678",1.90%,"3,724",26.70%,"31,251",10.30%,"7,359,197","39,819","1,478,889","1,080,442","57,628","50,126","7,251,924",63.90%,38.30%,10.30%,11.50%,"2,850,377",5.10%,94.90%,"1,180,749",73.70%,26.30%,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±3,052",±0.3,±0.4,±0.4,"±3,280",±0.2,"±4,935",±0.3,±0.3,±0.3,±0.1,±0.2,±0.1,±0.3,"±19,569",±0.5,±0.3,±0.1,±0.1,±0.2,±0.4,±0.2,"±11,519",±932,±0.3,"±1,629",±0.3,±222,±0.2,±302,±0.2,±389,±0.5,±840,±0.3,*****,±529,"±16,198","±16,989",±865,±510,"±3,111",±0.5,±0.5,±0.3,±0.4,"±11,519",±0.2,±0.2,"±15,519",±0.7,±0.7
Arkansas,"3,045,637",49.40%,50.60%,77.20%,48.80%,51.20%,"2,057,624",89.10%,88.10%,90.10%,"2,343,534",7.60%,"2,430,600",57.80%,57.50%,54.90%,2.60%,4.50%,0.30%,42.20%,"1,319,868",79.80%,8.30%,0.30%,1.50%,1.30%,8.80%,22.4,"1,216,207","55,432",71.90%,"81,483",34.90%,"20,900",6.30%,"11,009",1.90%,"3,402",23.70%,"23,978",10.30%,"3,045,637","31,380","574,221","438,576","51,246","41,123","2,991,199",60.00%,45.00%,8.40%,15.20%,"1,216,207",6.50%,93.50%,"424,171",77.30%,22.70%,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±5,056",±0.4,±0.5,±0.4,"±2,414",±0.3,"±3,862",±0.5,±0.5,±0.5,±0.2,±0.3,±0.1,±0.5,"±12,532",±0.7,±0.5,±0.1,±0.2,±0.2,±0.4,±0.3,"±8,435",±994,±0.6,"±1,562",±0.5,±302,±0.3,±469,±0.2,±500,±0.6,±979,±0.5,*****,±461,"±8,149","±7,782",±694,±553,"±1,702",±0.8,±0.7,±0.4,±0.6,"±8,435",±0.5,±0.5,"±9,022",±1.2,±1.2
California,"39,029,342",50.10%,49.90%,78.20%,49.70%,50.30%,"26,866,773",84.70%,84.20%,85.20%,"30,360,219",4.30%,"31,552,708",63.90%,63.40%,60.00%,3.40%,5.30%,0.50%,36.10%,"18,612,464",65.50%,9.80%,2.70%,2.40%,2.40%,17.20%,28.3,"13,550,586","91,551",80.60%,"132,782",28.10%,"21,919",5.70%,"10,839",3.80%,"5,229",21.50%,"38,243",12.70%,"39,029,342","46,661","7,845,113","5,607,949","66,916","59,420","38,548,670",63.80%,40.00%,6.50%,11.30%,"13,550,586",6.90%,93.10%,"5,044,333",62.20%,37.80%,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±6,486",±0.1,±0.2,±0.2,"±8,056",±0.1,"±14,148",±0.1,±0.1,±0.2,±0.1,±0.1,±0.1,±0.1,"±52,781",±0.2,±0.1,±0.1,±0.1,±0.1,±0.2,±0.1,"±19,485",±471,±0.2,±740,±0.1,±129,±0.1,±141,±0.1,±122,±0.2,±509,±0.2,*****,±225,"±37,287","±36,109",±564,±560,"±7,600",±0.2,±0.2,±0.1,±0.1,"±19,485",±0.1,±0.1,"±29,519",±0.3,±0.3
Colorado,"5,839,926",50.70%,49.30%,79.30%,50.60%,49.40%,"4,084,004",93.00%,92.70%,93.40%,"4,584,244",7.40%,"4,776,317",68.90%,67.90%,65.60%,2.40%,3.50%,0.90%,31.10%,"3,122,003",64.70%,7.90%,1.60%,2.50%,2.10%,21.20%,25,"2,384,584","89,302",81.70%,"119,085",25.50%,"22,784",3.10%,"10,798",2.20%,"4,580",21.90%,"35,459",8.50%,"5,839,926","49,071","1,336,345","961,857","70,519","56,823","5,742,363",70.50%,33.30%,7.10%,9.00%,"2,384,584",5.00%,95.00%,"1,089,369",70.60%,29.40%,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±4,595",±0.3,±0.4,±0.4,"±3,668",±0.2,"±4,041",±0.3,±0.3,±0.3,±0.1,±0.2,±0.1,±0.3,"±16,188",±0.5,±0.3,±0.2,±0.2,±0.1,±0.4,±0.3,"±7,807","±1,281",±0.4,"±1,526",±0.3,±293,±0.2,±465,±0.2,±430,±0.4,"±1,054",±0.3,*****,±524,"±9,093","±12,607",±908,±971,"±3,245",±0.5,±0.4,±0.3,±0.3,"±7,807",±0.3,±0.3,"±11,457",±0.8,±0.8
Connecticut,"3,626,205",49.00%,51.00%,79.90%,48.40%,51.60%,"2,545,188",91.50%,90.70%,92.30%,"2,888,535",4.60%,"2,986,455",65.70%,65.40%,62.30%,3.10%,4.70%,0.20%,34.30%,"1,827,542",69.00%,7.70%,3.30%,2.70%,1.50%,15.90%,26.8,"1,433,635","88,429",77.70%,"132,157",31.70%,"23,854",4.60%,"10,576",2.60%,"4,613",25.90%,"33,737",12.00%,"3,626,205","51,581","743,369","575,194","75,047","63,794","3,582,236",68.90%,37.60%,5.20%,9.20%,"1,433,635",9.00%,91.00%,"610,624",70.20%,29.80%,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±2,643",±0.4,±0.5,±0.4,"±1,686",±0.2,"±3,522",±0.4,±0.4,±0.4,±0.2,±0.3,±0.1,±0.4,"±13,832",±0.6,±0.4,±0.3,±0.3,±0.2,±0.4,±0.4,"±7,120","±1,688",±0.5,"±2,539",±0.4,±361,±0.4,±476,±0.3,±634,±0.6,±908,±0.5,*****,±842,"±9,842","±10,675","±1,347",±958,"±1,410",±0.6,±0.6,±0.3,±0.4,"±7,120",±0.5,±0.5,"±9,255",±1.0,±1.0
Delaware,"1,018,396",48.60%,51.40%,79.60%,48.00%,52.00%,"724,041",92.00%,90.30%,93.50%,"807,026",7.30%,"835,365",62.70%,62.40%,59.70%,2.70%,4.30%,0.40%,37.30%,"491,770",72.80%,7.10%,1.40%,2.10%,1.50%,15.10%,26.1,"402,334","82,174",74.00%,"104,569",36.10%,"25,040",4.40%,"12,039",2.10%,"2,583",32.70%,"36,449",10.90%,"1,018,396","42,571","198,566","173,962","63,310","51,912","1,005,551",71.80%,39.50%,5.60%,8.50%,"402,334",5.90%,94.10%,"187,123",75.80%,24.20%,*****,±0.1,±0.1,±0.1,±0.1,±0.1,±851,±0.6,±0.8,±0.6,±961,±0.4,"±1,817",±0.8,±0.8,±0.9,±0.4,±0.6,±0.1,±0.8,"±7,668",±1.3,±0.7,±0.4,±0.4,±0.3,±1.0,±0.6,"±3,985","±2,002",±0.9,"±3,169",±0.8,±625,±0.6,±803,±0.4,±679,±1.1,"±1,992",±0.8,*****,"±1,101","±4,919","±5,251","±1,832",±995,±962,±1.2,±1.0,±0.6,±0.7,"±3,985",±0.6,±0.6,"±4,750",±1.7,±1.7
Florida,"22,244,823",49.20%,50.80%,80.70%,48.80%,51.20%,"16,104,410",89.90%,89.20%,90.60%,"17,868,472",7.40%,"18,459,053",59.60%,59.20%,56.80%,2.40%,4.00%,0.40%,40.40%,"10,375,718",69.70%,9.00%,1.20%,1.40%,2.30%,16.40%,28,"8,826,394","69,303",73.40%,"99,759",36.40%,"22,956",5.00%,"10,357",2.10%,"3,041",25.60%,"33,284",12.30%,"22,244,823","40,278","4,374,674","3,428,527","54,157","45,855","21,904,247",63.60%,37.50%,11.20%,11.60%,"8,826,394",6.00%,94.00%,"3,315,723",65.80%,34.20%,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±6,772",±0.2,±0.2,±0.2,"±6,644",±0.1,"±8,546",±0.2,±0.2,±0.2,±0.1,±0.1,±0.1,±0.2,"±38,721",±0.4,±0.2,±0.1,±0.1,±0.1,±0.3,±0.1,"±23,013",±616,±0.2,±833,±0.2,±125,±0.1,±254,±0.1,±174,±0.2,±529,±0.2,*****,±316,"±24,601","±22,414",±416,±452,"±6,171",±0.3,±0.2,±0.2,±0.2,"±23,013",±0.2,±0.2,"±25,522",±0.4,±0.4
Georgia,"10,912,876",48.80%,51.20%,77.00%,48.10%,51.90%,"7,332,980",89.50%,88.60%,90.40%,"8,347,433",7.30%,"8,708,310",63.90%,63.20%,60.60%,2.60%,4.20%,0.70%,36.10%,"5,214,843",70.50%,9.00%,1.10%,1.30%,1.80%,16.30%,28.2,"4,092,467","72,837",79.50%,"101,642",29.30%,"21,670",5.10%,"10,304",1.70%,"3,549",22.80%,"29,625",13.20%,"10,912,876","38,378","2,196,252","1,800,677","58,853","48,397","10,718,050",66.60%,33.00%,11.70%,11.50%,"4,092,467",5.70%,94.30%,"1,705,941",75.00%,25.00%,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±9,439",±0.2,±0.3,±0.3,"±5,965",±0.2,"±8,015",±0.3,±0.3,±0.3,±0.1,±0.2,±0.1,±0.3,"±23,512",±0.5,±0.3,±0.1,±0.1,±0.1,±0.4,±0.3,"±12,679",±640,±0.3,±995,±0.3,±214,±0.2,±254,±0.1,±407,±0.3,±678,±0.3,*****,±332,"±15,589","±17,047",±989,±641,"±4,386",±0.4,±0.3,±0.2,±0.3,"±12,679",±0.2,±0.2,"±18,479",±0.6,±0.6
Hawaii,"1,440,196",50.40%,49.60%,79.40%,50.00%,50.00%,"1,023,843",92.90%,93.00%,92.80%,"1,097,072",8.20%,"1,175,667",63.50%,59.50%,57.40%,2.20%,3.60%,3.90%,36.50%,"698,891",64.10%,15.00%,3.50%,4.50%,3.40%,9.50%,26.1,"494,827","92,458",77.90%,"115,107",37.40%,"23,296",4.70%,"11,081",4.20%,"6,149",30.40%,"38,946",11.70%,"1,440,196","42,710","294,761","225,999","62,824","52,164","1,383,700",75.00%,39.40%,3.50%,9.50%,"494,827",8.10%,91.90%,"192,102",58.20%,41.80%,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±1,861",±0.5,±0.6,±0.6,"±2,922",±0.3,"±1,762",±0.6,±0.6,±0.6,±0.2,±0.3,±0.2,±0.6,"±7,030",±1.1,±0.9,±0.4,±0.4,±0.5,±0.6,±0.4,"±4,463","±2,241",±0.8,"±2,430",±0.7,±473,±0.5,±695,±0.5,±713,±0.8,"±2,043",±0.8,*****,±705,"±5,843","±5,274","±1,059","±1,077","±2,785",±0.8,±0.8,±0.4,±0.6,"±4,463",±0.6,±0.6,"±6,065",±1.7,±1.7
Idaho,"1,939,033",50.40%,49.60%,76.00%,50.10%,49.90%,"1,280,178",92.00%,91.20%,92.80%,"1,468,603",7.90%,"1,530,729",62.40%,62.00%,60.20%,1.80%,3.00%,0.40%,37.60%,"911,559",72.40%,8.80%,0.60%,2.90%,2.10%,13.10%,22.1,"717,151","72,785",77.20%,"92,606",32.80%,"23,406",4.80%,"11,015",2.70%,"2,750",25.40%,"29,393",7.30%,"1,939,033","35,980","383,120","255,122","56,040","42,715","1,911,951",68.30%,37.20%,8.20%,9.90%,"717,151",3.80%,96.20%,"324,332",72.50%,27.50%,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±3,552",±0.4,±0.6,±0.5,"±2,502",±0.3,"±3,002",±0.6,±0.6,±0.6,±0.2,±0.3,±0.1,±0.6,"±10,127",±0.9,±0.6,±0.1,±0.3,±0.3,±0.6,±0.4,"±4,796","±1,134",±0.6,"±2,112",±0.5,±402,±0.4,±599,±0.3,±418,±0.7,"±1,381",±0.5,*****,±694,"±6,589","±6,954","±1,335",±961,"±1,541",±0.9,±0.8,±0.5,±0.5,"±4,796",±0.4,±0.4,"±6,342",±1.3,±1.3
Illinois,"12,582,032",49.50%,50.50%,78.40%,49.00%,51.00%,"8,692,839",90.40%,89.50%,91.30%,"9,845,693",4.80%,"10,199,598",65.00%,64.80%,61.70%,3.10%,4.80%,0.20%,35.00%,"6,191,766",66.10%,7.90%,5.60%,2.60%,2.00%,15.80%,27.9,"5,056,360","76,708",77.60%,"110,194",29.30%,"22,298",4.80%,"10,588",2.60%,"3,675",23.80%,"34,633",14.60%,"12,582,032","43,317","2,584,152","2,004,212","65,710","53,150","12,413,406",69.30%,35.80%,6.60%,10.90%,"5,056,360",11.20%,88.80%,"2,065,838",73.10%,26.90%,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±4,340",±0.2,±0.3,±0.2,"±3,271",±0.1,"±6,710",±0.2,±0.2,±0.2,±0.1,±0.2,±0.1,±0.2,"±25,708",±0.4,±0.2,±0.2,±0.1,±0.1,±0.3,±0.2,"±12,532",±584,±0.3,±955,±0.2,±173,±0.2,±206,±0.1,±218,±0.3,±720,±0.3,*****,±328,"±17,887","±19,448",±723,±519,"±2,174",±0.4,±0.4,±0.2,±0.2,"±12,532",±0.3,±0.3,"±18,559",±0.6,±0.6
